Datetime,Volume,Open,High,Low,Close,Rate
2020-05-21 21:00,89277,110.916,110.983,110.447,110.83,-0.0007753615348551925
2020-05-24 21:00,53136,110.795,110.969,110.614,110.851,0.0005054379710275499
2020-05-25 21:00,98108,110.79,111.493,110.768,111.398,0.005487859915154706
2020-05-26 21:00,147639,111.416,111.447,110.675,111.268,-0.0013283549938967127
2020-05-27 21:00,114725,111.202,111.774,110.872,111.644,0.003974748655599785
2020-05-28 21:00,142177,111.62,112.218,111.195,112.212,0.005303709012721723
2020-05-31 21:00,120285,112.212,112.312,111.822,111.98,-0.002067515060777807
2020-05-31 21:00,120285,112.212,112.312,111.822,111.98,-0.002067515060777807
2020-06-01 21:00,138460,111.96,113.068,111.873,112.928,0.008645944980350158
2020-06-02 21:00,160582,112.944,113.354,112.486,113.3,0.0031520045332199547
2020-06-03 21:00,168398,113.279,114.332,113.100,114.224,0.008342234659557442
2020-06-04 21:00,195492,114.232,114.596,113.595,113.876,-0.003116464738427013
2020-06-07 21:00,128052,114.064,114.077,113.065,113.225,-0.007355519708233962
2020-06-08 21:00,151269,113.227,113.638,112.609,113.338,0.0009803315463625282
2020-06-09 21:00,161522,113.432,113.682,113.074,113.492,0.0005289512659567166
2020-06-10 21:00,184888,113.483,113.762,113.138,113.182,-0.0026523796515777864
2020-06-11 21:00,185231,113.198,113.692,112.474,112.742,-0.004028339723316568
2020-06-14 21:00,159720,112.828,113.268,112.372,113.072,0.0021625837558052947
2020-06-15 21:00,162540,113.099,113.445,112.722,112.813,-0.002528757990786845
2020-06-16 21:00,126952,112.818,113.208,112.533,112.796,-0.00019500434327847827
2020-06-17 21:00,134500,112.8,112.883,112.116,112.43,-0.0032801418439715457
2020-06-18 21:00,113688,112.49,112.604,112.170,112.234,-0.0022757578451417927
2020-06-21 21:00,103408,112.406,112.892,111.889,112.806,0.0035585289041509477
2020-06-22 21:00,149465,112.843,113.436,112.434,112.744,-0.0008773251331496304
2020-06-23 21:00,130063,112.792,113.016,112.510,112.906,0.0010107099794312037
2020-06-24 21:00,119034,112.972,113.138,112.785,113.008,0.0003186630315476522
2020-06-25 21:00,95075,113.044,113.151,112.672,113.082,0.0003361522946816877
2020-06-28 21:00,102052,113.092,113.612,113.004,113.086,-5.3054150603050854e-05
2020-06-29 21:00,121217,113.015,114.012,112.963,113.941,0.008193602619121373
2020-06-30 21:00,110222,113.955,114.150,113.180,113.624,-0.002904655346408697
2020-06-30 21:00,110222,113.955,114.150,113.180,113.624,-0.002904655346408697
2020-07-01 21:00,99683,113.625,113.999,113.488,113.722,0.0008536853685368026
2020-07-02 21:00,72444,113.731,113.861,113.512,113.681,-0.00043963387291061503
2020-07-05 21:00,91428,113.745,114.544,113.681,113.964,0.0019253593564551768
2020-07-06 21:00,92194,113.973,114.346,113.874,114.078,0.0009212708273012378
2020-07-07 21:00,98280,114.122,114.627,114.044,114.302,0.0015772594241251188
2020-07-08 21:00,111223,114.337,114.594,113.912,114.044,-0.002562600033235141
2020-07-09 21:00,81903,114.062,114.064,113.314,113.609,-0.003971524258736502
2020-07-12 21:00,85131,113.691,114.059,113.582,113.942,0.002207738519319828
2020-07-13 21:00,98685,113.878,114.327,113.714,114.081,0.0017826094592458856
2020-07-14 21:00,95923,114.117,114.227,113.086,113.244,-0.007650043376534649
2020-07-15 21:00,92854,113.232,113.658,113.026,113.42,0.0016603080401300196
2020-07-16 21:00,69395,113.412,114.095,113.310,114.032,0.005466793637357513
2020-07-19 21:00,94423,113.918,114.383,113.895,114.25,0.002914377008023259
2020-07-20 21:00,85314,114.204,114.512,113.998,114.468,0.0023116528317748066
2020-07-21 21:00,97433,114.462,115.405,114.412,115.264,0.007006692177316424
2020-07-22 21:00,88216,115.27,115.678,115.225,115.49,0.0019085625054220427
2020-07-23 21:00,123931,115.5,115.533,114.502,115.302,-0.0017142857142856563
2020-07-26 21:00,150989,115.179,115.284,114.122,114.551,-0.005452382812839147
2020-07-27 21:00,141338,114.566,114.836,114.368,114.49,-0.0006633730775274306
2020-07-28 21:00,139977,114.476,115.044,114.314,114.966,0.00428037317865749
2020-07-29 21:00,144650,115.002,115.350,114.846,115.213,0.0018347506999878136
2020-07-30 21:00,203785,115.22,116.306,114.902,115.954,0.006370421801770479
2020-08-02 21:00,168797,115.948,116.136,114.986,115.446,-0.004329527029357948
2020-08-03 21:00,117526,115.493,116.024,115.326,115.754,0.002259877221996224
2020-08-04 21:00,129669,115.789,116.517,115.593,116.234,0.0038431975403535154
2020-08-05 21:00,139745,116.26,116.358,115.606,116.025,-0.002021331498365727
2020-08-06 21:00,134857,116.1,116.116,115.472,116.096,-3.445305770879137e-05
2020-08-09 21:00,93411,115.976,116.235,115.566,115.724,-0.002172863351038106
2020-08-10 21:00,133944,115.704,116.433,115.704,116.156,0.003906520085736123
2020-08-11 21:00,128607,116.151,117.427,116.003,117.202,0.009048566090692305
2020-08-12 21:00,111153,117.263,117.612,117.088,117.54,0.002362211439243419
2020-08-13 21:00,98179,117.455,117.643,116.984,117.26,-0.0016602102933037605
2020-08-16 21:00,93356,117.241,117.450,116.894,116.919,-0.0027464794739042037
2020-08-17 21:00,115721,116.956,117.049,116.466,116.63,-0.0027873730291734294
2020-08-18 21:00,139500,116.657,116.917,115.712,115.966,-0.005923347934543169
2020-08-19 21:00,144204,115.98,116.597,115.836,116.556,0.004966373512674542
2020-08-20 21:00,119890,116.585,116.666,115.788,116.066,-0.004451687609898282
2020-08-23 21:00,98540,115.961,116.624,115.854,116.216,0.002199015186140129
2020-08-24 21:00,113069,116.206,117.276,116.184,117.2,0.00855377519233086
2020-08-25 21:00,109809,117.157,117.385,116.625,116.696,-0.003934890787575634
2020-08-26 21:00,183556,116.784,117.338,116.384,117.222,0.003750513769009352
2020-08-27 21:00,186968,117.256,117.887,116.336,116.53,-0.006191580814627815
2020-08-30 21:00,145070,116.471,117.802,116.430,117.184,0.006121695529359187
2020-08-31 21:00,153148,117.213,117.500,116.472,116.53,-0.005826998711746929
